Category: All categories

Month,Humble: (Worldwide)
2004-01,11
2004-02,12
2004-03,14
2004-04,13
2004-05,14
2004-06,14
2004-07,10
2004-08,13
2004-09,12
2004-10,13
2004-11,13
2004-12,12
2005-01,15
2005-02,13
2005-03,14
2005-04,15
2005-05,15
2005-06,16
2005-07,15
2005-08,15
2005-09,16
2005-10,14
2005-11,14
2005-12,13
2006-01,14
2006-02,14
2006-03,14
2006-04,14
2006-05,14
2006-06,14
2006-07,16
2006-08,18
2006-09,15
2006-10,16
2006-11,14
2006-12,14
2007-01,15
2007-02,15
2007-03,13
2007-04,15
2007-05,14
2007-06,13
2007-07,15
2007-08,16
2007-09,14
2007-10,14
2007-11,15
2007-12,14
2008-01,14
2008-02,16
2008-03,15
2008-04,16
2008-05,15
2008-06,16
2008-07,15
2008-08,17
2008-09,16
2008-10,15
2008-11,15
2008-12,15
2009-01,16
2009-02,16
2009-03,16
2009-04,17
2009-05,17
2009-06,17
2009-07,17
2009-08,18
2009-09,20
2009-10,17
2009-11,16
2009-12,16
2010-01,17
2010-02,17
2010-03,17
2010-04,17
2010-05,20
2010-06,17
2010-07,19
2010-08,19
2010-09,18
2010-10,19
2010-11,18
2010-12,25
2011-01,21
2011-02,21
2011-03,20
2011-04,26
2011-05,21
2011-06,21
2011-07,24
2011-08,28
2011-09,22
2011-10,24
2011-11,26
2011-12,32
2012-01,25
2012-02,30
2012-03,25
2012-04,25
2012-05,26
2012-06,38
2012-07,27
2012-08,26
2012-09,29
2012-10,25
2012-11,30
2012-12,50
2013-01,29
2013-02,29
2013-03,33
2013-04,31
2013-05,36
2013-06,40
2013-07,35
2013-08,96
2013-09,65
2013-10,56
2013-11,72
2013-12,67
2014-01,55
2014-02,58
2014-03,48
2014-04,47
2014-05,66
2014-06,49
2014-07,54
2014-08,49
2014-09,54
2014-10,45
2014-11,49
2014-12,47
2015-01,43
2015-02,51
2015-03,43
2015-04,49
2015-05,49
2015-06,48
2015-07,44
2015-08,44
2015-09,45
2015-10,45
2015-11,43
2015-12,44
2016-01,41
2016-02,45
2016-03,45
2016-04,48
2016-05,48
2016-06,46
2016-07,42
2016-08,42
2016-09,43
2016-10,38
2016-11,48
2016-12,41
2017-01,46
2017-02,49
2017-03,50
2017-04,100
2017-05,88
2017-06,77
2017-07,64
2017-08,61
2017-09,70
2017-10,61
2017-11,57
2017-12,64
2018-01,64
2018-02,55
2018-03,53
2018-04,53
