Year,Popularity,Keyword
2004-01,99,LSD
2004-02,91,LSD
2004-03,100,LSD
2004-04,95,LSD
2004-05,89,LSD
2004-06,72,LSD
2004-07,64,LSD
2004-08,63,LSD
2004-09,74,LSD
2004-10,84,LSD
2004-11,88,LSD
2004-12,86,LSD
2005-01,92,LSD
2005-02,88,LSD
2005-03,89,LSD
2005-04,90,LSD
2005-05,89,LSD
2005-06,79,LSD
2005-07,72,LSD
2005-08,72,LSD
2005-09,73,LSD
2005-10,83,LSD
2005-11,83,LSD
2005-12,77,LSD
2006-01,89,LSD
2006-02,81,LSD
2006-03,79,LSD
2006-04,78,LSD
2006-05,78,LSD
2006-06,67,LSD
2006-07,61,LSD
2006-08,64,LSD
2006-09,68,LSD
2006-10,69,LSD
2006-11,71,LSD
2006-12,68,LSD
2007-01,69,LSD
2007-02,66,LSD
2007-03,66,LSD
2007-04,68,LSD
2007-05,69,LSD
2007-06,65,LSD
2007-07,60,LSD
2007-08,61,LSD
2007-09,63,LSD
2007-10,69,LSD
2007-11,70,LSD
2007-12,67,LSD
2008-01,65,LSD
2008-02,64,LSD
2008-03,65,LSD
2008-04,78,LSD
2008-05,79,LSD
2008-06,61,LSD
2008-07,60,LSD
2008-08,59,LSD
2008-09,61,LSD
2008-10,65,LSD
2008-11,64,LSD
2008-12,60,LSD
2009-01,57,LSD
2009-02,57,LSD
2009-03,61,LSD
2009-04,59,LSD
2009-05,60,LSD
2009-06,56,LSD
2009-07,52,LSD
2009-08,56,LSD
2009-09,56,LSD
2009-10,56,LSD
2009-11,60,LSD
2009-12,56,LSD
2010-01,52,LSD
2010-02,54,LSD
2010-03,66,LSD
2010-04,61,LSD
2010-05,58,LSD
2010-06,52,LSD
2010-07,50,LSD
2010-08,54,LSD
2010-09,52,LSD
2010-10,58,LSD
2010-11,57,LSD
2010-12,54,LSD
2011-01,59,LSD
2011-02,55,LSD
2011-03,55,LSD
2011-04,56,LSD
2011-05,53,LSD
2011-06,51,LSD
2011-07,48,LSD
2011-08,47,LSD
2011-09,47,LSD
2011-10,57,LSD
2011-11,55,LSD
2011-12,50,LSD
2012-01,52,LSD
2012-02,52,LSD
2012-03,52,LSD
2012-04,53,LSD
2012-05,65,LSD
2012-06,58,LSD
2012-07,46,LSD
2012-08,48,LSD
2012-09,48,LSD
2012-10,48,LSD
2012-11,50,LSD
2012-12,50,LSD
2013-01,49,LSD
2013-02,50,LSD
2013-03,52,LSD
2013-04,55,LSD
2013-05,54,LSD
2013-06,51,LSD
2013-07,50,LSD
2013-08,52,LSD
2013-09,52,LSD
2013-10,53,LSD
2013-11,58,LSD
2013-12,53,LSD
2014-01,53,LSD
2014-02,53,LSD
2014-03,62,LSD
2014-04,70,LSD
2014-05,60,LSD
2014-06,53,LSD
2014-07,53,LSD
2014-08,52,LSD
2014-09,50,LSD
2014-10,53,LSD
2014-11,55,LSD
2014-12,55,LSD
2015-01,59,LSD
2015-02,56,LSD
2015-03,56,LSD
2015-04,56,LSD
2015-05,69,LSD
2015-06,63,LSD
2015-07,60,LSD
2015-08,63,LSD
2015-09,60,LSD
2015-10,62,LSD
2015-11,62,LSD
2015-12,60,LSD
2016-01,56,LSD
2016-02,57,LSD
2016-03,59,LSD
2016-04,66,LSD
2016-05,59,LSD
2016-06,53,LSD
2016-07,51,LSD
2016-08,50,LSD
2016-09,56,LSD
2016-10,56,LSD
2016-11,56,LSD
2016-12,56,LSD
2017-01,57,LSD
2017-02,57,LSD
2017-03,59,LSD
2017-04,62,LSD
2017-05,58,LSD
2017-06,56,LSD
2017-07,56,LSD
2017-08,53,LSD
2017-09,52,LSD
2017-10,55,LSD
2017-11,54,LSD
2017-12,53,LSD
2018-01,52,LSD
2018-02,51,LSD
2018-03,53,LSD
2018-04,56,LSD
