Year,Popularity,Keyword
2004-01,63,Panda
2004-02,66,Panda
2004-03,67,Panda
2004-04,68,Panda
2004-05,95,Panda
2004-06,74,Panda
2004-07,74,Panda
2004-08,75,Panda
2004-09,82,Panda
2004-10,88,Panda
2004-11,92,Panda
2004-12,86,Panda
2005-01,88,Panda
2005-02,89,Panda
2005-03,79,Panda
2005-04,75,Panda
2005-05,75,Panda
2005-06,66,Panda
2005-07,65,Panda
2005-08,70,Panda
2005-09,70,Panda
2005-10,71,Panda
2005-11,74,Panda
2005-12,75,Panda
2006-01,74,Panda
2006-02,69,Panda
2006-03,67,Panda
2006-04,66,Panda
2006-05,64,Panda
2006-06,59,Panda
2006-07,58,Panda
2006-08,58,Panda
2006-09,65,Panda
2006-10,64,Panda
2006-11,63,Panda
2006-12,64,Panda
2007-01,66,Panda
2007-02,63,Panda
2007-03,64,Panda
2007-04,62,Panda
2007-05,62,Panda
2007-06,59,Panda
2007-07,55,Panda
2007-08,59,Panda
2007-09,62,Panda
2007-10,60,Panda
2007-11,59,Panda
2007-12,57,Panda
2008-01,55,Panda
2008-02,56,Panda
2008-03,56,Panda
2008-04,59,Panda
2008-05,64,Panda
2008-06,96,Panda
2008-07,100,Panda
2008-08,75,Panda
2008-09,65,Panda
2008-10,59,Panda
2008-11,64,Panda
2008-12,58,Panda
2009-01,56,Panda
2009-02,54,Panda
2009-03,50,Panda
2009-04,48,Panda
2009-05,47,Panda
2009-06,45,Panda
2009-07,44,Panda
2009-08,44,Panda
2009-09,47,Panda
2009-10,49,Panda
2009-11,46,Panda
2009-12,45,Panda
2010-01,45,Panda
2010-02,44,Panda
2010-03,44,Panda
2010-04,43,Panda
2010-05,43,Panda
2010-06,41,Panda
2010-07,42,Panda
2010-08,41,Panda
2010-09,43,Panda
2010-10,45,Panda
2010-11,47,Panda
2010-12,45,Panda
2011-01,45,Panda
2011-02,45,Panda
2011-03,45,Panda
2011-04,45,Panda
2011-05,62,Panda
2011-06,93,Panda
2011-07,65,Panda
2011-08,57,Panda
2011-09,54,Panda
2011-10,54,Panda
2011-11,52,Panda
2011-12,57,Panda
2012-01,52,Panda
2012-02,48,Panda
2012-03,49,Panda
2012-04,46,Panda
2012-05,45,Panda
2012-06,44,Panda
2012-07,43,Panda
2012-08,42,Panda
2012-09,51,Panda
2012-10,48,Panda
2012-11,44,Panda
2012-12,45,Panda
2013-01,46,Panda
2013-02,45,Panda
2013-03,44,Panda
2013-04,44,Panda
2013-05,42,Panda
2013-06,44,Panda
2013-07,43,Panda
2013-08,45,Panda
2013-09,45,Panda
2013-10,47,Panda
2013-11,45,Panda
2013-12,46,Panda
2014-01,47,Panda
2014-02,45,Panda
2014-03,44,Panda
2014-04,45,Panda
2014-05,46,Panda
2014-06,43,Panda
2014-07,43,Panda
2014-08,47,Panda
2014-09,44,Panda
2014-10,46,Panda
2014-11,46,Panda
2014-12,46,Panda
2015-01,46,Panda
2015-02,47,Panda
2015-03,45,Panda
2015-04,45,Panda
2015-05,46,Panda
2015-06,46,Panda
2015-07,44,Panda
2015-08,48,Panda
2015-09,47,Panda
2015-10,47,Panda
2015-11,49,Panda
2015-12,54,Panda
2016-01,61,Panda
2016-02,71,Panda
2016-03,88,Panda
2016-04,90,Panda
2016-05,83,Panda
2016-06,75,Panda
2016-07,66,Panda
2016-08,58,Panda
2016-09,57,Panda
2016-10,57,Panda
2016-11,54,Panda
2016-12,56,Panda
2017-01,53,Panda
2017-02,53,Panda
2017-03,51,Panda
2017-04,50,Panda
2017-05,48,Panda
2017-06,47,Panda
2017-07,48,Panda
2017-08,48,Panda
2017-09,48,Panda
2017-10,48,Panda
2017-11,50,Panda
2017-12,49,Panda
2018-01,48,Panda
2018-02,48,Panda
2018-03,47,Panda
2018-04,47,Panda
