Category: All categories

Month,Raf Simons: (Worldwide)
2004-01,7
2004-02,7
2004-03,9
2004-04,6
2004-05,5
2004-06,5
2004-07,6
2004-08,3
2004-09,6
2004-10,9
2004-11,6
2004-12,5
2005-01,3
2005-02,9
2005-03,4
2005-04,6
2005-05,8
2005-06,6
2005-07,8
2005-08,6
2005-09,7
2005-10,7
2005-11,7
2005-12,7
2006-01,10
2006-02,12
2006-03,10
2006-04,9
2006-05,6
2006-06,7
2006-07,8
2006-08,7
2006-09,6
2006-10,5
2006-11,7
2006-12,6
2007-01,9
2007-02,9
2007-03,9
2007-04,7
2007-05,8
2007-06,8
2007-07,10
2007-08,7
2007-09,9
2007-10,10
2007-11,11
2007-12,11
2008-01,12
2008-02,15
2008-03,13
2008-04,12
2008-05,11
2008-06,13
2008-07,15
2008-08,16
2008-09,16
2008-10,17
2008-11,14
2008-12,17
2009-01,17
2009-02,15
2009-03,16
2009-04,17
2009-05,13
2009-06,14
2009-07,12
2009-08,15
2009-09,14
2009-10,13
2009-11,17
2009-12,12
2010-01,14
2010-02,12
2010-03,11
2010-04,11
2010-05,9
2010-06,10
2010-07,8
2010-08,9
2010-09,8
2010-10,8
2010-11,9
2010-12,9
2011-01,11
2011-02,9
2011-03,8
2011-04,8
2011-05,9
2011-06,10
2011-07,10
2011-08,9
2011-09,13
2011-10,11
2011-11,9
2011-12,18
2012-01,15
2012-02,24
2012-03,15
2012-04,36
2012-05,12
2012-06,13
2012-07,30
2012-08,13
2012-09,17
2012-10,17
2012-11,12
2012-12,14
2013-01,28
2013-02,22
2013-03,19
2013-04,16
2013-05,16
2013-06,19
2013-07,22
2013-08,19
2013-09,18
2013-10,18
2013-11,18
2013-12,21
2014-01,26
2014-02,21
2014-03,24
2014-04,23
2014-05,23
2014-06,24
2014-07,28
2014-08,25
2014-09,25
2014-10,23
2014-11,23
2014-12,28
2015-01,46
2015-02,45
2015-03,46
2015-04,49
2015-05,49
2015-06,43
2015-07,51
2015-08,56
2015-09,59
2015-10,73
2015-11,59
2015-12,60
2016-01,71
2016-02,66
2016-03,69
2016-04,67
2016-05,59
2016-06,65
2016-07,55
2016-08,63
2016-09,54
2016-10,54
2016-11,50
2016-12,52
2017-01,68
2017-02,93
2017-03,76
2017-04,62
2017-05,81
2017-06,75
2017-07,86
2017-08,94
2017-09,100
2017-10,85
2017-11,77
2017-12,75
2018-01,75
2018-02,88
2018-03,77
2018-04,69
