Year,Popularity,Keyword
2004-01,7,Raf Simons
2004-02,7,Raf Simons
2004-03,9,Raf Simons
2004-04,6,Raf Simons
2004-05,5,Raf Simons
2004-06,5,Raf Simons
2004-07,6,Raf Simons
2004-08,3,Raf Simons
2004-09,6,Raf Simons
2004-10,9,Raf Simons
2004-11,6,Raf Simons
2004-12,5,Raf Simons
2005-01,3,Raf Simons
2005-02,9,Raf Simons
2005-03,4,Raf Simons
2005-04,6,Raf Simons
2005-05,8,Raf Simons
2005-06,6,Raf Simons
2005-07,8,Raf Simons
2005-08,6,Raf Simons
2005-09,7,Raf Simons
2005-10,7,Raf Simons
2005-11,7,Raf Simons
2005-12,7,Raf Simons
2006-01,10,Raf Simons
2006-02,12,Raf Simons
2006-03,10,Raf Simons
2006-04,9,Raf Simons
2006-05,6,Raf Simons
2006-06,7,Raf Simons
2006-07,8,Raf Simons
2006-08,7,Raf Simons
2006-09,6,Raf Simons
2006-10,5,Raf Simons
2006-11,7,Raf Simons
2006-12,6,Raf Simons
2007-01,9,Raf Simons
2007-02,9,Raf Simons
2007-03,9,Raf Simons
2007-04,7,Raf Simons
2007-05,8,Raf Simons
2007-06,8,Raf Simons
2007-07,10,Raf Simons
2007-08,7,Raf Simons
2007-09,9,Raf Simons
2007-10,10,Raf Simons
2007-11,11,Raf Simons
2007-12,11,Raf Simons
2008-01,12,Raf Simons
2008-02,15,Raf Simons
2008-03,13,Raf Simons
2008-04,12,Raf Simons
2008-05,11,Raf Simons
2008-06,13,Raf Simons
2008-07,15,Raf Simons
2008-08,16,Raf Simons
2008-09,16,Raf Simons
2008-10,17,Raf Simons
2008-11,14,Raf Simons
2008-12,17,Raf Simons
2009-01,17,Raf Simons
2009-02,15,Raf Simons
2009-03,16,Raf Simons
2009-04,17,Raf Simons
2009-05,13,Raf Simons
2009-06,14,Raf Simons
2009-07,12,Raf Simons
2009-08,15,Raf Simons
2009-09,14,Raf Simons
2009-10,13,Raf Simons
2009-11,17,Raf Simons
2009-12,12,Raf Simons
2010-01,14,Raf Simons
2010-02,12,Raf Simons
2010-03,11,Raf Simons
2010-04,11,Raf Simons
2010-05,9,Raf Simons
2010-06,10,Raf Simons
2010-07,8,Raf Simons
2010-08,9,Raf Simons
2010-09,8,Raf Simons
2010-10,8,Raf Simons
2010-11,9,Raf Simons
2010-12,9,Raf Simons
2011-01,11,Raf Simons
2011-02,9,Raf Simons
2011-03,8,Raf Simons
2011-04,8,Raf Simons
2011-05,9,Raf Simons
2011-06,10,Raf Simons
2011-07,10,Raf Simons
2011-08,9,Raf Simons
2011-09,13,Raf Simons
2011-10,11,Raf Simons
2011-11,9,Raf Simons
2011-12,18,Raf Simons
2012-01,15,Raf Simons
2012-02,24,Raf Simons
2012-03,15,Raf Simons
2012-04,36,Raf Simons
2012-05,12,Raf Simons
2012-06,13,Raf Simons
2012-07,30,Raf Simons
2012-08,13,Raf Simons
2012-09,17,Raf Simons
2012-10,17,Raf Simons
2012-11,12,Raf Simons
2012-12,14,Raf Simons
2013-01,28,Raf Simons
2013-02,22,Raf Simons
2013-03,19,Raf Simons
2013-04,16,Raf Simons
2013-05,16,Raf Simons
2013-06,19,Raf Simons
2013-07,22,Raf Simons
2013-08,19,Raf Simons
2013-09,18,Raf Simons
2013-10,18,Raf Simons
2013-11,18,Raf Simons
2013-12,21,Raf Simons
2014-01,26,Raf Simons
2014-02,21,Raf Simons
2014-03,24,Raf Simons
2014-04,23,Raf Simons
2014-05,23,Raf Simons
2014-06,24,Raf Simons
2014-07,28,Raf Simons
2014-08,25,Raf Simons
2014-09,25,Raf Simons
2014-10,23,Raf Simons
2014-11,23,Raf Simons
2014-12,28,Raf Simons
2015-01,46,Raf Simons
2015-02,45,Raf Simons
2015-03,46,Raf Simons
2015-04,49,Raf Simons
2015-05,49,Raf Simons
2015-06,43,Raf Simons
2015-07,51,Raf Simons
2015-08,56,Raf Simons
2015-09,59,Raf Simons
2015-10,73,Raf Simons
2015-11,59,Raf Simons
2015-12,60,Raf Simons
2016-01,71,Raf Simons
2016-02,66,Raf Simons
2016-03,69,Raf Simons
2016-04,67,Raf Simons
2016-05,59,Raf Simons
2016-06,65,Raf Simons
2016-07,55,Raf Simons
2016-08,63,Raf Simons
2016-09,54,Raf Simons
2016-10,54,Raf Simons
2016-11,50,Raf Simons
2016-12,52,Raf Simons
2017-01,68,Raf Simons
2017-02,93,Raf Simons
2017-03,76,Raf Simons
2017-04,62,Raf Simons
2017-05,81,Raf Simons
2017-06,75,Raf Simons
2017-07,86,Raf Simons
2017-08,94,Raf Simons
2017-09,100,Raf Simons
2017-10,85,Raf Simons
2017-11,77,Raf Simons
2017-12,75,Raf Simons
2018-01,75,Raf Simons
2018-02,88,Raf Simons
2018-03,77,Raf Simons
2018-04,69,Raf Simons
