Category: All categories

Month,Savage: (Worldwide)
2004-01,78
2004-02,72
2004-03,71
2004-04,73
2004-05,83
2004-06,68
2004-07,68
2004-08,68
2004-09,72
2004-10,68
2004-11,64
2004-12,59
2005-01,60
2005-02,61
2005-03,59
2005-04,58
2005-05,54
2005-06,51
2005-07,57
2005-08,59
2005-09,56
2005-10,56
2005-11,56
2005-12,59
2006-01,58
2006-02,56
2006-03,53
2006-04,51
2006-05,48
2006-06,51
2006-07,49
2006-08,52
2006-09,74
2006-10,54
2006-11,50
2006-12,50
2007-01,47
2007-02,46
2007-03,46
2007-04,48
2007-05,44
2007-06,45
2007-07,45
2007-08,49
2007-09,43
2007-10,45
2007-11,44
2007-12,47
2008-01,47
2008-02,47
2008-03,45
2008-04,45
2008-05,46
2008-06,43
2008-07,48
2008-08,45
2008-09,43
2008-10,48
2008-11,48
2008-12,48
2009-01,46
2009-02,45
2009-03,44
2009-04,44
2009-05,48
2009-06,40
2009-07,40
2009-08,40
2009-09,41
2009-10,39
2009-11,39
2009-12,37
2010-01,39
2010-02,39
2010-03,38
2010-04,37
2010-05,37
2010-06,35
2010-07,37
2010-08,38
2010-09,36
2010-10,39
2010-11,39
2010-12,38
2011-01,40
2011-02,38
2011-03,36
2011-04,37
2011-05,100
2011-06,39
2011-07,38
2011-08,37
2011-09,38
2011-10,40
2011-11,44
2011-12,42
2012-01,41
2012-02,38
2012-03,38
2012-04,41
2012-05,37
2012-06,37
2012-07,37
2012-08,37
2012-09,39
2012-10,41
2012-11,43
2012-12,42
2013-01,39
2013-02,39
2013-03,36
2013-04,35
2013-05,33
2013-06,33
2013-07,35
2013-08,34
2013-09,33
2013-10,34
2013-11,38
2013-12,36
2014-01,36
2014-02,34
2014-03,33
2014-04,34
2014-05,34
2014-06,34
2014-07,35
2014-08,35
2014-09,33
2014-10,37
2014-11,37
2014-12,39
2015-01,40
2015-02,38
2015-03,39
2015-04,35
2015-05,36
2015-06,34
2015-07,37
2015-08,38
2015-09,39
2015-10,39
2015-11,42
2015-12,46
2016-01,42
2016-02,40
2016-03,41
2016-04,41
2016-05,45
2016-06,41
2016-07,45
2016-08,47
2016-09,49
2016-10,56
2016-11,63
2016-12,68
2017-01,61
2017-02,58
2017-03,56
2017-04,50
2017-05,48
2017-06,48
2017-07,66
2017-08,54
2017-09,54
2017-10,60
2017-11,65
2017-12,63
2018-01,57
2018-02,52
2018-03,52
2018-04,50
