Year,Popularity,Keyword
2004-01,3,Uber
2004-02,3,Uber
2004-03,3,Uber
2004-04,3,Uber
2004-05,4,Uber
2004-06,3,Uber
2004-07,3,Uber
2004-08,2,Uber
2004-09,3,Uber
2004-10,2,Uber
2004-11,2,Uber
2004-12,3,Uber
2005-01,3,Uber
2005-02,3,Uber
2005-03,3,Uber
2005-04,3,Uber
2005-05,3,Uber
2005-06,2,Uber
2005-07,2,Uber
2005-08,3,Uber
2005-09,3,Uber
2005-10,3,Uber
2005-11,3,Uber
2005-12,3,Uber
2006-01,3,Uber
2006-02,3,Uber
2006-03,3,Uber
2006-04,4,Uber
2006-05,4,Uber
2006-06,3,Uber
2006-07,3,Uber
2006-08,3,Uber
2006-09,2,Uber
2006-10,3,Uber
2006-11,3,Uber
2006-12,3,Uber
2007-01,3,Uber
2007-02,3,Uber
2007-03,3,Uber
2007-04,3,Uber
2007-05,3,Uber
2007-06,3,Uber
2007-07,3,Uber
2007-08,3,Uber
2007-09,3,Uber
2007-10,3,Uber
2007-11,3,Uber
2007-12,3,Uber
2008-01,3,Uber
2008-02,3,Uber
2008-03,3,Uber
2008-04,3,Uber
2008-05,4,Uber
2008-06,3,Uber
2008-07,3,Uber
2008-08,3,Uber
2008-09,3,Uber
2008-10,3,Uber
2008-11,3,Uber
2008-12,2,Uber
2009-01,3,Uber
2009-02,2,Uber
2009-03,3,Uber
2009-04,2,Uber
2009-05,3,Uber
2009-06,3,Uber
2009-07,3,Uber
2009-08,3,Uber
2009-09,3,Uber
2009-10,3,Uber
2009-11,3,Uber
2009-12,3,Uber
2010-01,3,Uber
2010-02,3,Uber
2010-03,3,Uber
2010-04,3,Uber
2010-05,5,Uber
2010-06,4,Uber
2010-07,4,Uber
2010-08,4,Uber
2010-09,3,Uber
2010-10,3,Uber
2010-11,3,Uber
2010-12,3,Uber
2011-01,3,Uber
2011-02,5,Uber
2011-03,4,Uber
2011-04,4,Uber
2011-05,4,Uber
2011-06,4,Uber
2011-07,4,Uber
2011-08,4,Uber
2011-09,4,Uber
2011-10,4,Uber
2011-11,4,Uber
2011-12,4,Uber
2012-01,4,Uber
2012-02,4,Uber
2012-03,4,Uber
2012-04,4,Uber
2012-05,5,Uber
2012-06,4,Uber
2012-07,4,Uber
2012-08,4,Uber
2012-09,4,Uber
2012-10,4,Uber
2012-11,4,Uber
2012-12,4,Uber
2013-01,4,Uber
2013-02,4,Uber
2013-03,4,Uber
2013-04,4,Uber
2013-05,4,Uber
2013-06,5,Uber
2013-07,5,Uber
2013-08,6,Uber
2013-09,6,Uber
2013-10,7,Uber
2013-11,7,Uber
2013-12,8,Uber
2014-01,10,Uber
2014-02,10,Uber
2014-03,11,Uber
2014-04,12,Uber
2014-05,18,Uber
2014-06,21,Uber
2014-07,21,Uber
2014-08,22,Uber
2014-09,22,Uber
2014-10,24,Uber
2014-11,30,Uber
2014-12,36,Uber
2015-01,26,Uber
2015-02,30,Uber
2015-03,33,Uber
2015-04,41,Uber
2015-05,46,Uber
2015-06,54,Uber
2015-07,59,Uber
2015-08,58,Uber
2015-09,56,Uber
2015-10,58,Uber
2015-11,59,Uber
2015-12,58,Uber
2016-01,59,Uber
2016-02,62,Uber
2016-03,64,Uber
2016-04,70,Uber
2016-05,77,Uber
2016-06,77,Uber
2016-07,86,Uber
2016-08,85,Uber
2016-09,88,Uber
2016-10,93,Uber
2016-11,94,Uber
2016-12,99,Uber
2017-01,96,Uber
2017-02,91,Uber
2017-03,93,Uber
2017-04,89,Uber
2017-05,89,Uber
2017-06,100,Uber
2017-07,97,Uber
2017-08,92,Uber
2017-09,92,Uber
2017-10,88,Uber
2017-11,85,Uber
2017-12,88,Uber
2018-01,80,Uber
2018-02,84,Uber
2018-03,94,Uber
2018-04,84,Uber
