Year,Popularity,Keyword
2004-01,1,Gucci
2004-02,1,Gucci
2004-03,0,Gucci
2004-04,2,Gucci
2004-05,1,Gucci
2004-06,6,Gucci
2004-07,8,Gucci
2004-08,1,Gucci
2004-09,7,Gucci
2004-10,8,Gucci
2004-11,9,Gucci
2004-12,4,Gucci
2005-01,3,Gucci
2005-02,3,Gucci
2005-03,3,Gucci
2005-04,0,Gucci
2005-05,1,Gucci
2005-06,10,Gucci
2005-07,7,Gucci
2005-08,8,Gucci
2005-09,7,Gucci
2005-10,1,Gucci
2005-11,10,Gucci
2005-12,3,Gucci
2006-01,9,Gucci
2006-02,2,Gucci
2006-03,8,Gucci
2006-04,9,Gucci
2006-05,6,Gucci
2006-06,10,Gucci
2006-07,2,Gucci
2006-08,8,Gucci
2006-09,7,Gucci
2006-10,4,Gucci
2006-11,6,Gucci
2006-12,10,Gucci
2007-01,3,Gucci
2007-02,3,Gucci
2007-03,8,Gucci
2007-04,10,Gucci
2007-05,1,Gucci
2007-06,6,Gucci
2007-07,1,Gucci
2007-08,4,Gucci
2007-09,8,Gucci
2007-10,2,Gucci
2007-11,8,Gucci
2007-12,8,Gucci
2008-01,7,Gucci
2008-02,0,Gucci
2008-03,0,Gucci
2008-04,8,Gucci
2008-05,8,Gucci
2008-06,8,Gucci
2008-07,10,Gucci
2008-08,3,Gucci
2008-09,0,Gucci
2008-10,9,Gucci
2008-11,10,Gucci
2008-12,4,Gucci
2009-01,6,Gucci
2009-02,7,Gucci
2009-03,6,Gucci
2009-04,3,Gucci
2009-05,6,Gucci
2009-06,3,Gucci
2009-07,8,Gucci
2009-08,1,Gucci
2009-09,1,Gucci
2009-10,12,Gucci
2009-11,0,Gucci
2009-12,6,Gucci
2010-01,0,Gucci
2010-02,5,Gucci
2010-03,9,Gucci
2010-04,6,Gucci
2010-05,8,Gucci
2010-06,10,Gucci
2010-07,4,Gucci
2010-08,3,Gucci
2010-09,7,Gucci
2010-10,1,Gucci
2010-11,1,Gucci
2010-12,0,Gucci
2011-01,13,Gucci
2011-02,10,Gucci
2011-03,0,Gucci
2011-04,10,Gucci
2011-05,6,Gucci
2011-06,5,Gucci
2011-07,6,Gucci
2011-08,6,Gucci
2011-09,4,Gucci
2011-10,9,Gucci
2011-11,0,Gucci
2011-12,5,Gucci
2012-01,5,Gucci
2012-02,10,Gucci
2012-03,2,Gucci
2012-04,14,Gucci
2012-05,6,Gucci
2012-06,4,Gucci
2012-07,8,Gucci
2012-08,9,Gucci
2012-09,5,Gucci
2012-10,9,Gucci
2012-11,7,Gucci
2012-12,0,Gucci
2013-01,10,Gucci
2013-02,10,Gucci
2013-03,3,Gucci
2013-04,9,Gucci
2013-05,7,Gucci
2013-06,2,Gucci
2013-07,15,Gucci
2013-08,2,Gucci
2013-09,1,Gucci
2013-10,2,Gucci
2013-11,2,Gucci
2013-12,0,Gucci
2014-01,2,Gucci
2014-02,1,Gucci
2014-03,4,Gucci
2014-04,4,Gucci
2014-05,2,Gucci
2014-06,2,Gucci
2014-07,9,Gucci
2014-08,1,Gucci
2014-09,5,Gucci
2014-10,16,Gucci
2014-11,4,Gucci
2014-12,6,Gucci
2015-01,10,Gucci
2015-02,7,Gucci
2015-03,2,Gucci
2015-04,6,Gucci
2015-05,0,Gucci
2015-06,1,Gucci
2015-07,3,Gucci
2015-08,1,Gucci
2015-09,8,Gucci
2015-10,6,Gucci
2015-11,5,Gucci
2015-12,4,Gucci
2016-01,17,Gucci
2016-02,3,Gucci
2016-03,4,Gucci
2016-04,7,Gucci
2016-05,4,Gucci
2016-06,4,Gucci
2016-07,1,Gucci
2016-08,10,Gucci
2016-09,4,Gucci
2016-10,10,Gucci
2016-11,1,Gucci
2016-12,8,Gucci
2017-01,2,Gucci
2017-02,10,Gucci
2017-03,7,Gucci
2017-04,18,Gucci
2017-05,3,Gucci
2017-06,53,Gucci
2017-07,8,Gucci
2017-08,0,Gucci
2017-09,7,Gucci
2017-10,1,Gucci
2017-11,1,Gucci
2017-12,8,Gucci
2018-01,10,Gucci
2018-02,7,Gucci
2018-03,3,Gucci
2018-04,1,Gucci
