Year,Popularity,Keyword
2004-01,8,LSD
2004-02,14,LSD
2004-03,14,LSD
2004-04,6,LSD
2004-05,2,LSD
2004-06,3,LSD
2004-07,0,LSD
2004-08,7,LSD
2004-09,0,LSD
2004-10,1,LSD
2004-11,12,LSD
2004-12,2,LSD
2005-01,8,LSD
2005-02,4,LSD
2005-03,13,LSD
2005-04,1,LSD
2005-05,5,LSD
2005-06,6,LSD
2005-07,2,LSD
2005-08,3,LSD
2005-09,13,LSD
2005-10,14,LSD
2005-11,0,LSD
2005-12,14,LSD
2006-01,7,LSD
2006-02,14,LSD
2006-03,13,LSD
2006-04,5,LSD
2006-05,14,LSD
2006-06,13,LSD
2006-07,5,LSD
2006-08,11,LSD
2006-09,13,LSD
2006-10,7,LSD
2006-11,9,LSD
2006-12,5,LSD
2007-01,4,LSD
2007-02,9,LSD
2007-03,11,LSD
2007-04,2,LSD
2007-05,13,LSD
2007-06,7,LSD
2007-07,5,LSD
2007-08,12,LSD
2007-09,10,LSD
2007-10,3,LSD
2007-11,5,LSD
2007-12,2,LSD
2008-01,0,LSD
2008-02,10,LSD
2008-03,2,LSD
2008-04,3,LSD
2008-05,8,LSD
2008-06,12,LSD
2008-07,9,LSD
2008-08,4,LSD
2008-09,4,LSD
2008-10,9,LSD
2008-11,4,LSD
2008-12,11,LSD
2009-01,3,LSD
2009-02,7,LSD
2009-03,1,LSD
2009-04,10,LSD
2009-05,12,LSD
2009-06,8,LSD
2009-07,3,LSD
2009-08,1,LSD
2009-09,9,LSD
2009-10,1,LSD
2009-11,7,LSD
2009-12,8,LSD
2010-01,12,LSD
2010-02,5,LSD
2010-03,11,LSD
2010-04,7,LSD
2010-05,12,LSD
2010-06,7,LSD
2010-07,1,LSD
2010-08,8,LSD
2010-09,5,LSD
2010-10,7,LSD
2010-11,10,LSD
2010-12,12,LSD
2011-01,1,LSD
2011-02,9,LSD
2011-03,3,LSD
2011-04,8,LSD
2011-05,7,LSD
2011-06,1,LSD
2011-07,6,LSD
2011-08,10,LSD
2011-09,2,LSD
2011-10,1,LSD
2011-11,7,LSD
2011-12,11,LSD
2012-01,10,LSD
2012-02,5,LSD
2012-03,0,LSD
2012-04,2,LSD
2012-05,0,LSD
2012-06,11,LSD
2012-07,1,LSD
2012-08,8,LSD
2012-09,9,LSD
2012-10,5,LSD
2012-11,8,LSD
2012-12,4,LSD
2013-01,2,LSD
2013-02,14,LSD
2013-03,3,LSD
2013-04,8,LSD
2013-05,10,LSD
2013-06,0,LSD
2013-07,12,LSD
2013-08,7,LSD
2013-09,8,LSD
2013-10,12,LSD
2013-11,1,LSD
2013-12,11,LSD
2014-01,6,LSD
2014-02,2,LSD
2014-03,13,LSD
2014-04,3,LSD
2014-05,11,LSD
2014-06,1,LSD
2014-07,1,LSD
2014-08,13,LSD
2014-09,3,LSD
2014-10,5,LSD
2014-11,5,LSD
2014-12,11,LSD
2015-01,11,LSD
2015-02,3,LSD
2015-03,2,LSD
2015-04,13,LSD
2015-05,1,LSD
2015-06,1,LSD
2015-07,3,LSD
2015-08,3,LSD
2015-09,14,LSD
2015-10,7,LSD
2015-11,3,LSD
2015-12,8,LSD
2016-01,3,LSD
2016-02,3,LSD
2016-03,0,LSD
2016-04,10,LSD
2016-05,7,LSD
2016-06,10,LSD
2016-07,10,LSD
2016-08,7,LSD
2016-09,13,LSD
2016-10,2,LSD
2016-11,0,LSD
2016-12,2,LSD
2017-01,11,LSD
2017-02,4,LSD
2017-03,9,LSD
2017-04,13,LSD
2017-05,8,LSD
2017-06,4,LSD
2017-07,2,LSD
2017-08,2,LSD
2017-09,3,LSD
2017-10,8,LSD
2017-11,0,LSD
2017-12,3,LSD
2018-01,0,LSD
2018-02,3,LSD
2018-03,10,LSD
2018-04,7,LSD
