Year,Popularity,Keyword
2004-01,14,Raf Simons
2004-02,1,Raf Simons
2004-03,14,Raf Simons
2004-04,6,Raf Simons
2004-05,0,Raf Simons
2004-06,5,Raf Simons
2004-07,14,Raf Simons
2004-08,0,Raf Simons
2004-09,12,Raf Simons
2004-10,5,Raf Simons
2004-11,10,Raf Simons
2004-12,2,Raf Simons
2005-01,11,Raf Simons
2005-02,1,Raf Simons
2005-03,13,Raf Simons
2005-04,4,Raf Simons
2005-05,5,Raf Simons
2005-06,9,Raf Simons
2005-07,6,Raf Simons
2005-08,6,Raf Simons
2005-09,11,Raf Simons
2005-10,2,Raf Simons
2005-11,10,Raf Simons
2005-12,3,Raf Simons
2006-01,2,Raf Simons
2006-02,1,Raf Simons
2006-03,11,Raf Simons
2006-04,2,Raf Simons
2006-05,0,Raf Simons
2006-06,9,Raf Simons
2006-07,14,Raf Simons
2006-08,7,Raf Simons
2006-09,6,Raf Simons
2006-10,12,Raf Simons
2006-11,9,Raf Simons
2006-12,3,Raf Simons
2007-01,4,Raf Simons
2007-02,1,Raf Simons
2007-03,13,Raf Simons
2007-04,14,Raf Simons
2007-05,11,Raf Simons
2007-06,7,Raf Simons
2007-07,0,Raf Simons
2007-08,7,Raf Simons
2007-09,14,Raf Simons
2007-10,4,Raf Simons
2007-11,13,Raf Simons
2007-12,0,Raf Simons
2008-01,9,Raf Simons
2008-02,5,Raf Simons
2008-03,0,Raf Simons
2008-04,4,Raf Simons
2008-05,9,Raf Simons
2008-06,4,Raf Simons
2008-07,7,Raf Simons
2008-08,6,Raf Simons
2008-09,5,Raf Simons
2008-10,5,Raf Simons
2008-11,10,Raf Simons
2008-12,10,Raf Simons
2009-01,14,Raf Simons
2009-02,14,Raf Simons
2009-03,10,Raf Simons
2009-04,10,Raf Simons
2009-05,10,Raf Simons
2009-06,3,Raf Simons
2009-07,3,Raf Simons
2009-08,4,Raf Simons
2009-09,7,Raf Simons
2009-10,3,Raf Simons
2009-11,7,Raf Simons
2009-12,12,Raf Simons
2010-01,4,Raf Simons
2010-02,4,Raf Simons
2010-03,12,Raf Simons
2010-04,6,Raf Simons
2010-05,6,Raf Simons
2010-06,0,Raf Simons
2010-07,2,Raf Simons
2010-08,11,Raf Simons
2010-09,7,Raf Simons
2010-10,7,Raf Simons
2010-11,5,Raf Simons
2010-12,0,Raf Simons
2011-01,6,Raf Simons
2011-02,2,Raf Simons
2011-03,0,Raf Simons
2011-04,9,Raf Simons
2011-05,10,Raf Simons
2011-06,3,Raf Simons
2011-07,3,Raf Simons
2011-08,6,Raf Simons
2011-09,12,Raf Simons
2011-10,11,Raf Simons
2011-11,2,Raf Simons
2011-12,14,Raf Simons
2012-01,11,Raf Simons
2012-02,11,Raf Simons
2012-03,12,Raf Simons
2012-04,14,Raf Simons
2012-05,9,Raf Simons
2012-06,14,Raf Simons
2012-07,9,Raf Simons
2012-08,11,Raf Simons
2012-09,8,Raf Simons
2012-10,9,Raf Simons
2012-11,5,Raf Simons
2012-12,2,Raf Simons
2013-01,14,Raf Simons
2013-02,14,Raf Simons
2013-03,12,Raf Simons
2013-04,11,Raf Simons
2013-05,3,Raf Simons
2013-06,2,Raf Simons
2013-07,12,Raf Simons
2013-08,2,Raf Simons
2013-09,6,Raf Simons
2013-10,0,Raf Simons
2013-11,12,Raf Simons
2013-12,12,Raf Simons
2014-01,3,Raf Simons
2014-02,8,Raf Simons
2014-03,11,Raf Simons
2014-04,1,Raf Simons
2014-05,5,Raf Simons
2014-06,14,Raf Simons
2014-07,13,Raf Simons
2014-08,14,Raf Simons
2014-09,9,Raf Simons
2014-10,8,Raf Simons
2014-11,10,Raf Simons
2014-12,1,Raf Simons
2015-01,7,Raf Simons
2015-02,10,Raf Simons
2015-03,14,Raf Simons
2015-04,6,Raf Simons
2015-05,2,Raf Simons
2015-06,5,Raf Simons
2015-07,5,Raf Simons
2015-08,14,Raf Simons
2015-09,14,Raf Simons
2015-10,4,Raf Simons
2015-11,0,Raf Simons
2015-12,9,Raf Simons
2016-01,2,Raf Simons
2016-02,0,Raf Simons
2016-03,13,Raf Simons
2016-04,13,Raf Simons
2016-05,63,Raf Simons
2016-06,4,Raf Simons
2016-07,13,Raf Simons
2016-08,11,Raf Simons
2016-09,1,Raf Simons
2016-10,14,Raf Simons
2016-11,5,Raf Simons
2016-12,10,Raf Simons
2017-01,1,Raf Simons
2017-02,8,Raf Simons
2017-03,9,Raf Simons
2017-04,6,Raf Simons
2017-05,13,Raf Simons
2017-06,8,Raf Simons
2017-07,9,Raf Simons
2017-08,6,Raf Simons
2017-09,1,Raf Simons
2017-10,4,Raf Simons
2017-11,4,Raf Simons
2017-12,7,Raf Simons
2018-01,14,Raf Simons
2018-02,0,Raf Simons
2018-03,1,Raf Simons
2018-04,9,Raf Simons
