Year,Popularity,Keyword
2004-01,6,Savage
2004-02,6,Savage
2004-03,6,Savage
2004-04,6,Savage
2004-05,6,Savage
2004-06,6,Savage
2004-07,6,Savage
2004-08,6,Savage
2004-09,6,Savage
2004-10,6,Savage
2004-11,6,Savage
2004-12,6,Savage
2005-01,4,Savage
2005-02,4,Savage
2005-03,4,Savage
2005-04,4,Savage
2005-05,4,Savage
2005-06,4,Savage
2005-07,4,Savage
2005-08,4,Savage
2005-09,4,Savage
2005-10,4,Savage
2005-11,4,Savage
2005-12,4,Savage
2006-01,6,Savage
2006-02,6,Savage
2006-03,6,Savage
2006-04,6,Savage
2006-05,6,Savage
2006-06,6,Savage
2006-07,6,Savage
2006-08,6,Savage
2006-09,6,Savage
2006-10,6,Savage
2006-11,6,Savage
2006-12,6,Savage
2007-01,7,Savage
2007-02,7,Savage
2007-03,7,Savage
2007-04,7,Savage
2007-05,7,Savage
2007-06,7,Savage
2007-07,7,Savage
2007-08,7,Savage
2007-09,7,Savage
2007-10,7,Savage
2007-11,7,Savage
2007-12,7,Savage
2008-01,8,Savage
2008-02,8,Savage
2008-03,8,Savage
2008-04,8,Savage
2008-05,8,Savage
2008-06,8,Savage
2008-07,8,Savage
2008-08,8,Savage
2008-09,8,Savage
2008-10,8,Savage
2008-11,8,Savage
2008-12,8,Savage
2009-01,6,Savage
2009-02,6,Savage
2009-03,6,Savage
2009-04,6,Savage
2009-05,6,Savage
2009-06,6,Savage
2009-07,6,Savage
2009-08,6,Savage
2009-09,6,Savage
2009-10,6,Savage
2009-11,6,Savage
2009-12,6,Savage
2010-01,8,Savage
2010-02,8,Savage
2010-03,8,Savage
2010-04,8,Savage
2010-05,8,Savage
2010-06,8,Savage
2010-07,8,Savage
2010-08,8,Savage
2010-09,8,Savage
2010-10,8,Savage
2010-11,8,Savage
2010-12,8,Savage
2011-01,10,Savage
2011-02,10,Savage
2011-03,10,Savage
2011-04,10,Savage
2011-05,10,Savage
2011-06,10,Savage
2011-07,10,Savage
2011-08,10,Savage
2011-09,10,Savage
2011-10,10,Savage
2011-11,10,Savage
2011-12,10,Savage
2012-01,13,Savage
2012-02,13,Savage
2012-03,13,Savage
2012-04,13,Savage
2012-05,13,Savage
2012-06,13,Savage
2012-07,13,Savage
2012-08,13,Savage
2012-09,13,Savage
2012-10,13,Savage
2012-11,13,Savage
2012-12,13,Savage
2013-01,20,Savage
2013-02,20,Savage
2013-03,20,Savage
2013-04,20,Savage
2013-05,20,Savage
2013-06,20,Savage
2013-07,20,Savage
2013-08,20,Savage
2013-09,20,Savage
2013-10,20,Savage
2013-11,20,Savage
2013-12,20,Savage
2014-01,38,Savage
2014-02,38,Savage
2014-03,38,Savage
2014-04,38,Savage
2014-05,38,Savage
2014-06,38,Savage
2014-07,38,Savage
2014-08,38,Savage
2014-09,38,Savage
2014-10,38,Savage
2014-11,38,Savage
2014-12,38,Savage
2015-01,12,Savage
2015-02,12,Savage
2015-03,12,Savage
2015-04,12,Savage
2015-05,12,Savage
2015-06,12,Savage
2015-07,12,Savage
2015-08,12,Savage
2015-09,12,Savage
2015-10,12,Savage
2015-11,12,Savage
2015-12,12,Savage
2016-01,76,Savage
2016-02,76,Savage
2016-03,76,Savage
2016-04,76,Savage
2016-05,76,Savage
2016-06,76,Savage
2016-07,76,Savage
2016-08,76,Savage
2016-09,76,Savage
2016-10,76,Savage
2016-11,76,Savage
2016-12,76,Savage
2017-01,11,Savage
2017-02,11,Savage
2017-03,11,Savage
2017-04,11,Savage
2017-05,11,Savage
2017-06,11,Savage
2017-07,11,Savage
2017-08,11,Savage
2017-09,11,Savage
2017-10,11,Savage
2017-11,11,Savage
2017-12,11,Savage
2018-01,24,Savage
2018-02,24,Savage
2018-03,24,Savage
2018-04,24,Savage
