Year,Popularity,Keyword
2004-01,8,Thrift
2004-02,4,Thrift
2004-03,8,Thrift
2004-04,5,Thrift
2004-05,6,Thrift
2004-06,0,Thrift
2004-07,1,Thrift
2004-08,4,Thrift
2004-09,7,Thrift
2004-10,7,Thrift
2004-11,6,Thrift
2004-12,3,Thrift
2005-01,9,Thrift
2005-02,8,Thrift
2005-03,8,Thrift
2005-04,8,Thrift
2005-05,0,Thrift
2005-06,6,Thrift
2005-07,9,Thrift
2005-08,0,Thrift
2005-09,1,Thrift
2005-10,7,Thrift
2005-11,1,Thrift
2005-12,1,Thrift
2006-01,8,Thrift
2006-02,3,Thrift
2006-03,5,Thrift
2006-04,1,Thrift
2006-05,8,Thrift
2006-06,6,Thrift
2006-07,5,Thrift
2006-08,5,Thrift
2006-09,1,Thrift
2006-10,7,Thrift
2006-11,6,Thrift
2006-12,10,Thrift
2007-01,4,Thrift
2007-02,10,Thrift
2007-03,9,Thrift
2007-04,1,Thrift
2007-05,10,Thrift
2007-06,3,Thrift
2007-07,10,Thrift
2007-08,1,Thrift
2007-09,9,Thrift
2007-10,1,Thrift
2007-11,0,Thrift
2007-12,3,Thrift
2008-01,4,Thrift
2008-02,5,Thrift
2008-03,3,Thrift
2008-04,3,Thrift
2008-05,7,Thrift
2008-06,7,Thrift
2008-07,3,Thrift
2008-08,6,Thrift
2008-09,9,Thrift
2008-10,5,Thrift
2008-11,4,Thrift
2008-12,4,Thrift
2009-01,5,Thrift
2009-02,0,Thrift
2009-03,0,Thrift
2009-04,3,Thrift
2009-05,7,Thrift
2009-06,3,Thrift
2009-07,6,Thrift
2009-08,9,Thrift
2009-09,5,Thrift
2009-10,5,Thrift
2009-11,7,Thrift
2009-12,3,Thrift
2010-01,5,Thrift
2010-02,6,Thrift
2010-03,3,Thrift
2010-04,2,Thrift
2010-05,7,Thrift
2010-06,7,Thrift
2010-07,5,Thrift
2010-08,1,Thrift
2010-09,0,Thrift
2010-10,3,Thrift
2010-11,2,Thrift
2010-12,8,Thrift
2011-01,10,Thrift
2011-02,9,Thrift
2011-03,3,Thrift
2011-04,7,Thrift
2011-05,1,Thrift
2011-06,9,Thrift
2011-07,5,Thrift
2011-08,10,Thrift
2011-09,8,Thrift
2011-10,10,Thrift
2011-11,5,Thrift
2011-12,6,Thrift
2012-01,1,Thrift
2012-02,1,Thrift
2012-03,0,Thrift
2012-04,5,Thrift
2012-05,4,Thrift
2012-06,10,Thrift
2012-07,7,Thrift
2012-08,0,Thrift
2012-09,2,Thrift
2012-10,5,Thrift
2012-11,0,Thrift
2012-12,5,Thrift
2013-01,0,Thrift
2013-02,2,Thrift
2013-03,3,Thrift
2013-04,0,Thrift
2013-05,4,Thrift
2013-06,10,Thrift
2013-07,2,Thrift
2013-08,2,Thrift
2013-09,3,Thrift
2013-10,5,Thrift
2013-11,3,Thrift
2013-12,8,Thrift
2014-01,1,Thrift
2014-02,5,Thrift
2014-03,3,Thrift
2014-04,5,Thrift
2014-05,6,Thrift
2014-06,0,Thrift
2014-07,2,Thrift
2014-08,6,Thrift
2014-09,9,Thrift
2014-10,6,Thrift
2014-11,0,Thrift
2014-12,8,Thrift
2015-01,2,Thrift
2015-02,7,Thrift
2015-03,8,Thrift
2015-04,7,Thrift
2015-05,8,Thrift
2015-06,7,Thrift
2015-07,2,Thrift
2015-08,0,Thrift
2015-09,2,Thrift
2015-10,5,Thrift
2015-11,8,Thrift
2015-12,4,Thrift
2016-01,7,Thrift
2016-02,8,Thrift
2016-03,0,Thrift
2016-04,2,Thrift
2016-05,2,Thrift
2016-06,0,Thrift
2016-07,4,Thrift
2016-08,4,Thrift
2016-09,0,Thrift
2016-10,9,Thrift
2016-11,2,Thrift
2016-12,6,Thrift
2017-01,1,Thrift
2017-02,5,Thrift
2017-03,8,Thrift
2017-04,8,Thrift
2017-05,7,Thrift
2017-06,7,Thrift
2017-07,1,Thrift
2017-08,7,Thrift
2017-09,7,Thrift
2017-10,9,Thrift
2017-11,4,Thrift
2017-12,6,Thrift
2018-01,7,Thrift
2018-02,1,Thrift
2018-03,10,Thrift
2018-04,4,Thrift
