Year,Popularity,Keyword
2004-01,2,Uber
2004-02,4,Uber
2004-03,0,Uber
2004-04,4,Uber
2004-05,1,Uber
2004-06,1,Uber
2004-07,4,Uber
2004-08,2,Uber
2004-09,1,Uber
2004-10,2,Uber
2004-11,1,Uber
2004-12,4,Uber
2005-01,2,Uber
2005-02,3,Uber
2005-03,4,Uber
2005-04,1,Uber
2005-05,3,Uber
2005-06,0,Uber
2005-07,4,Uber
2005-08,0,Uber
2005-09,0,Uber
2005-10,3,Uber
2005-11,0,Uber
2005-12,2,Uber
2006-01,0,Uber
2006-02,0,Uber
2006-03,3,Uber
2006-04,4,Uber
2006-05,3,Uber
2006-06,3,Uber
2006-07,2,Uber
2006-08,1,Uber
2006-09,4,Uber
2006-10,1,Uber
2006-11,2,Uber
2006-12,1,Uber
2007-01,2,Uber
2007-02,0,Uber
2007-03,4,Uber
2007-04,3,Uber
2007-05,1,Uber
2007-06,4,Uber
2007-07,1,Uber
2007-08,4,Uber
2007-09,1,Uber
2007-10,1,Uber
2007-11,2,Uber
2007-12,4,Uber
2008-01,1,Uber
2008-02,1,Uber
2008-03,3,Uber
2008-04,2,Uber
2008-05,0,Uber
2008-06,4,Uber
2008-07,4,Uber
2008-08,1,Uber
2008-09,4,Uber
2008-10,2,Uber
2008-11,1,Uber
2008-12,2,Uber
2009-01,4,Uber
2009-02,3,Uber
2009-03,0,Uber
2009-04,3,Uber
2009-05,3,Uber
2009-06,3,Uber
2009-07,7,Uber
2009-08,6,Uber
2009-09,1,Uber
2009-10,10,Uber
2009-11,10,Uber
2009-12,0,Uber
2010-01,9,Uber
2010-02,1,Uber
2010-03,1,Uber
2010-04,5,Uber
2010-05,4,Uber
2010-06,5,Uber
2010-07,7,Uber
2010-08,6,Uber
2010-09,2,Uber
2010-10,6,Uber
2010-11,9,Uber
2010-12,8,Uber
2011-01,0,Uber
2011-02,2,Uber
2011-03,5,Uber
2011-04,5,Uber
2011-05,7,Uber
2011-06,3,Uber
2011-07,0,Uber
2011-08,2,Uber
2011-09,4,Uber
2011-10,10,Uber
2011-11,1,Uber
2011-12,5,Uber
2012-01,2,Uber
2012-02,6,Uber
2012-03,3,Uber
2012-04,5,Uber
2012-05,9,Uber
2012-06,6,Uber
2012-07,10,Uber
2012-08,1,Uber
2012-09,3,Uber
2012-10,9,Uber
2012-11,8,Uber
2012-12,3,Uber
2013-01,9,Uber
2013-02,1,Uber
2013-03,4,Uber
2013-04,0,Uber
2013-05,4,Uber
2013-06,1,Uber
2013-07,8,Uber
2013-08,1,Uber
2013-09,5,Uber
2013-10,3,Uber
2013-11,3,Uber
2013-12,0,Uber
2014-01,10,Uber
2014-02,6,Uber
2014-03,9,Uber
2014-04,5,Uber
2014-05,8,Uber
2014-06,6,Uber
2014-07,6,Uber
2014-08,5,Uber
2014-09,3,Uber
2014-10,2,Uber
2014-11,7,Uber
2014-12,5,Uber
2015-01,3,Uber
2015-02,10,Uber
2015-03,0,Uber
2015-04,1,Uber
2015-05,2,Uber
2015-06,2,Uber
2015-07,8,Uber
2015-08,5,Uber
2015-09,7,Uber
2015-10,9,Uber
2015-11,6,Uber
2015-12,2,Uber
2016-01,8,Uber
2016-02,8,Uber
2016-03,0,Uber
2016-04,1,Uber
2016-05,1,Uber
2016-06,4,Uber
2016-07,6,Uber
2016-08,8,Uber
2016-09,9,Uber
2016-10,5,Uber
2016-11,4,Uber
2016-12,9,Uber
2017-01,8,Uber
2017-02,2,Uber
2017-03,1,Uber
2017-04,4,Uber
2017-05,1,Uber
2017-06,3,Uber
2017-07,4,Uber
2017-08,3,Uber
2017-09,4,Uber
2017-10,5,Uber
2017-11,8,Uber
2017-12,8,Uber
2018-01,2,Uber
2018-02,10,Uber
2018-03,9,Uber
2018-04,6,Uber
