Year,Popularity,Keyword
2004-01,2,Versace
2004-02,0,Versace
2004-03,1,Versace
2004-04,1,Versace
2004-05,2,Versace
2004-06,1,Versace
2004-07,3,Versace
2004-08,3,Versace
2004-09,1,Versace
2004-10,3,Versace
2004-11,3,Versace
2004-12,2,Versace
2005-01,4,Versace
2005-02,1,Versace
2005-03,1,Versace
2005-04,2,Versace
2005-05,1,Versace
2005-06,1,Versace
2005-07,3,Versace
2005-08,1,Versace
2005-09,3,Versace
2005-10,0,Versace
2005-11,0,Versace
2005-12,4,Versace
2006-01,1,Versace
2006-02,3,Versace
2006-03,1,Versace
2006-04,2,Versace
2006-05,3,Versace
2006-06,3,Versace
2006-07,4,Versace
2006-08,1,Versace
2006-09,2,Versace
2006-10,3,Versace
2006-11,1,Versace
2006-12,0,Versace
2007-01,3,Versace
2007-02,2,Versace
2007-03,4,Versace
2007-04,1,Versace
2007-05,2,Versace
2007-06,2,Versace
2007-07,4,Versace
2007-08,3,Versace
2007-09,0,Versace
2007-10,3,Versace
2007-11,4,Versace
2007-12,3,Versace
2008-01,4,Versace
2008-02,1,Versace
2008-03,3,Versace
2008-04,3,Versace
2008-05,0,Versace
2008-06,3,Versace
2008-07,0,Versace
2008-08,2,Versace
2008-09,1,Versace
2008-10,0,Versace
2008-11,4,Versace
2008-12,1,Versace
2009-01,2,Versace
2009-02,4,Versace
2009-03,1,Versace
2009-04,1,Versace
2009-05,2,Versace
2009-06,2,Versace
2009-07,3,Versace
2009-08,1,Versace
2009-09,4,Versace
2009-10,2,Versace
2009-11,10,Versace
2009-12,3,Versace
2010-01,1,Versace
2010-02,7,Versace
2010-03,9,Versace
2010-04,5,Versace
2010-05,4,Versace
2010-06,10,Versace
2010-07,6,Versace
2010-08,2,Versace
2010-09,2,Versace
2010-10,10,Versace
2010-11,10,Versace
2010-12,5,Versace
2011-01,6,Versace
2011-02,2,Versace
2011-03,3,Versace
2011-04,4,Versace
2011-05,8,Versace
2011-06,1,Versace
2011-07,1,Versace
2011-08,7,Versace
2011-09,4,Versace
2011-10,7,Versace
2011-11,4,Versace
2011-12,2,Versace
2012-01,6,Versace
2012-02,7,Versace
2012-03,3,Versace
2012-04,6,Versace
2012-05,10,Versace
2012-06,10,Versace
2012-07,5,Versace
2012-08,4,Versace
2012-09,0,Versace
2012-10,8,Versace
2012-11,7,Versace
2012-12,10,Versace
2013-01,5,Versace
2013-02,9,Versace
2013-03,10,Versace
2013-04,7,Versace
2013-05,10,Versace
2013-06,1,Versace
2013-07,4,Versace
2013-08,9,Versace
2013-09,1,Versace
2013-10,0,Versace
2013-11,5,Versace
2013-12,1,Versace
2014-01,3,Versace
2014-02,7,Versace
2014-03,1,Versace
2014-04,10,Versace
2014-05,1,Versace
2014-06,0,Versace
2014-07,6,Versace
2014-08,8,Versace
2014-09,7,Versace
2014-10,1,Versace
2014-11,5,Versace
2014-12,9,Versace
2015-01,7,Versace
2015-02,5,Versace
2015-03,9,Versace
2015-04,9,Versace
2015-05,0,Versace
2015-06,8,Versace
2015-07,4,Versace
2015-08,1,Versace
2015-09,2,Versace
2015-10,5,Versace
2015-11,0,Versace
2015-12,4,Versace
2016-01,8,Versace
2016-02,8,Versace
2016-03,8,Versace
2016-04,4,Versace
2016-05,10,Versace
2016-06,1,Versace
2016-07,5,Versace
2016-08,7,Versace
2016-09,8,Versace
2016-10,0,Versace
2016-11,8,Versace
2016-12,6,Versace
2017-01,6,Versace
2017-02,1,Versace
2017-03,4,Versace
2017-04,10,Versace
2017-05,6,Versace
2017-06,4,Versace
2017-07,0,Versace
2017-08,3,Versace
2017-09,1,Versace
2017-10,4,Versace
2017-11,9,Versace
2017-12,7,Versace
2018-01,2,Versace
2018-02,1,Versace
2018-03,0,Versace
2018-04,8,Versace
